S.No.,Type of Stock,Mech. Code,Wagon Description,"Length over Headstock
 (mm)","Length over Buffer/Couplers
 (mm)","Length Inside 
(mm)","Width Inside
(mm)","Overall width
 (mm)","Height Inside
(mm)","Overall Height from Rail
 (mm)","Cubic Capacity
 (cum)","Bogie Centre 
 (mm)","Wheel Base
 (mm)","Journal centre
 (mm)","Wheel Dia Max
 (mm)","Wheel Dia Min
 (mm)",Material of Construction,Axle Load (t),Tare Wt.(t),Carrying capacity(t),Gross Wt.(t),Ratio(CC to Tare),Ratio(Gross to Tare),Built,Commodity Transported,Type of Bogie,Outer spring (nos/Bogie),Inner spring (nos/Bogie),Snubber spring (nos/Bogie),Type of Side Bearer Assembly,Type of Coupler,Type of Bearing,Air Brake Sytem,RDSO Speed Certificate Date,"RDSO Certified Speed Empty
 KMPH","RDSO Certified Speed Loaded
 KMPH",Rly Bd. Sanction Date,"Rly Bd. Sanction Speed Empty
 KMPH","Rly Bd. Sanction Speed Loaded
 KMPH",CRS Sanction Date,"CRS Sanction Speed Empty
 KMPH","CRS Sanction Speed Loaded
 KMPH",GM Sanction Date,"GM Sanction Speed Empty
 KMPH","GM Sanction Speed Loaded
 KMPH",Routes,"Validity
 (Open/Limited/Expired)","Valid Up to 
 (If limited)",Current status/ Remarks,Engg. Case No.,Pending Decision with,Population over IR as on date……
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
1,Open wagon,BOXNHL,BG Bogie open wagon,10034,10963,10034,3022,3250,2028,3301,61.05,6690,2000,2260,1000,906,"IRS:M-44, Cold Rolled Sections",22.9,20.6,71,91.6,3.447,4.447,,Coal,CASNUB 22 HS,14,14,4,PU Pad,CBC,CTRB(6x11) E-Class,Air Brake,23.03.2009,100,75,04.11.2020,100,75,-,-,-,03.05.2021 (E) & 30.06.2021 (L),100,75,133/52,-,-,-,,,
2,Open wagon,BOXNHL,BG Bogie open wagon,10034,10963,10034,3022,3250,2028,3301,61.05,6690,2000,2260,1000,906,"IRS:M-44, Cold Rolled Sections",25,20.6,79.4,100,3.854,4.854,,Coal,CASNUB 22 HS,14,14,4,PU Pad,CBC,CTRB(6x11) E-Class,Air Brake,30.10.2015,100,70,25.01.2021,100,45,-,-,-,04.05.2021 (E),100,U/P,135,-,-,case under process in loaded conditon,,,
3,Open wagon,BOXNHS,BG Bogie open wagon,9784,10713,9784,2950,3200,1950,3233,56.29,6524,2000,2260,1000,906,IS:2062 E250A Cu,20.32,23.2,58.08,81.28,2.503,3.503,,Coal,CASNUB 22 HS,14,12,4,PU Pad,CBC,CTRB(6x11) E-Class,Air Brake,15.07.2002,100,100,17.10.2002,100,100,-,-,-,-,-,-,-,No Time Limit,No Time Limit,-,,,
4,Open wagon,BOXNS,BG Bogie open wagon,9784,10713,9784,3111,3135,2300,3581,69.36,,2000,2260,1000,906,IS:2062 E450BR Cu,25,19.85,80.15,100,4.038,5.038,,Coal,LWLH 25,14,12,4,CCSB,CBC,CTRB K-Class,Air Brake,24.08.2016,85,65,27.01.2021,85,45,-,-,-,04.05.2021 (E),85,U/P,135,-,-,case under process in loaded conditon,,,
5,Open wagon,BOY,BG Bogie open wagon,11000,11929,10990,2924,3134,1175,2450,37.8,7330,2000,2260,1000,906,IS:2062 E250A Cu,22.9,29.11,62.49,91.6,2.147,3.147,,Minerals/ore,CASNUB 22 NLB(Modified),14,10,4,,CBC,CTRB(6x11) E-Class,Air Brake,,75,65,,,,,,,,,,,,,,,,
6,Open wagon,BOYEL,BG Bogie open wagon,11000,11929,10990,2924,3134,1175,2450,37.8,7330,2000,2260,1000,955,IS:2062 E250A Cu,25,20.68,79.32,100,3.836,4.836,,"Coal, ore etc.",CASNUB 22 NLC,14,14,4,,CBC,CTRB(6x11) E-Class,Air Brake,29.07.2021,85,45,27.01.2021,85,45,-,-,-,29.09.2021 (E),85,U/P,136,-,-,case under process in loaded conditon,,,
7,Open wagon,BOXN,BG Bogie open wagon,9784,10713,9784,2950,3200,1950,3233,56.29,6524,2000,2260,1000,906,IS:2062 Fe410Cu-WA,20.32,23.2,58.08,81.28,2.503,3.503,,"Iron Ore, Coal etc.",CASNUB 22 NLB,12,8,4,Metal Rubber Bonded Pad,CBC,CTRB(6x11) E-Class,Air Brake,,80,75,,,,,,,,,,,,,,,,
8,Open wagon,BOXN M1,BG Bogie open wagon,9784,10713,9784,2950,3200,1950,3233,56.29,6524,2000,2260,1000,906,IS:2062 Fe410Cu-WA,22.82,23.2,68.08,91.28,2.934,3.934,,Coal,CASNUB 22 NLB(Modified),14,10,4,,CBC,CTRB(6x11) E-Class,Air Brake,,80,60,,,,,,,,,,,,,,,,
9,Open wagon,BOXNR,BG Bogie open wagon,9784,10713,9784,2954,3176,2127,3408,61.47,6524,2000,2260,1000,906,"IRSM-44, Cold Rolled Sections",22.9,21.2,70.4,91.6,3.321,4.321,,"Coal, ore etc.",CASNUB 22 NLB,12,8,4,,CBC,CTRB(6x11) E-Class,Air Brake,11.09.2019,100,75,27.01.2021,100,75,-,-,-,03.05.2021 (E) & 15.06.2021 (L),100,75,135/52,-,-,-,,,
